time_ps,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,frag10,frag11,frag12,frag13,frag14,frag15,frag16,frag17,frag18,frag19,frag20,frag21,frag22,frag23,frag24,frag25,frag26,frag27,frag28,frag29,frag30,frag31,frag32,frag33,frag34,frag35,frag36,frag37,frag38,frag39,frag40,frag41,frag42
0.000000,62.3817468362,126.8544633058,136.0523310258,67.5765937437,151.0921305113,90.7721165814,59.9476823080,115.0070502627,101.0240922980,142.8751721773,148.9513696395,51.9328093048,92.4538596373,132.0985447362,149.9006784541,131.4085198771,113.0639560261,174.1940671365,35.1022372220,134.3798978135,139.4106604110,162.7082367569,166.9703539648,84.1995555217,62.2226682114,121.9109810835,55.0406233489,91.3179710433,146.3719707261,75.1480561027,81.2716030988,118.7300251950,153.7449260979,126.5053677170,85.5358274993,120.2530019139,131.0548647360,107.4492683933,129.9242861092,143.0846010337,165.2281295138,133.6762659082
200.000000,69.8492370352,110.8351875140,126.8904724675,59.1505079427,142.8228702365,91.2868385369,64.6024450819,113.1422859392,97.9479975780,148.1902922498,150.2870743860,54.2413566553,88.6539753623,130.6732050460,153.4701011624,122.8352617368,106.3142709818,173.8024261361,27.7779547719,135.5965609088,135.7365026339,147.7913545558,175.0504096812,91.6430016074,66.7029207905,118.7730894208,52.7463780836,97.1863373454,148.8273497530,82.9234210497,69.9962604876,117.6687958755,140.3369230354,133.3844526965,92.9500136379,104.9137194792,114.0179158514,106.8260758286,142.9598774695,146.8831353668,149.2583991781,122.8585291391
400.000000,76.8389079872,124.0692561927,121.5948473972,67.5296437452,133.2343986688,100.3978920533,69.9532721997,119.7567784437,96.8922448043,142.2316157857,164.2245305984,42.8181387186,81.7249553991,133.3779262038,165.5670405306,121.2368526940,122.8614307387,183.8825328349,42.1346424291,120.8650623874,159.7839263355,150.5968286564,179.3359162376,93.8641313680,65.0598741958,129.7458208196,58.0939902737,88.2679518799,149.4223297292,79.7585973380,71.2990744766,127.1919387706,138.5497188300,133.9429234829,86.4521798738,108.9519554815,122.8226804233,109.5142954567,140.7894763712,145.8085111277,166.2069092999,137.6177398632
600.000000,66.2655269252,135.2592478279,132.0388011682,64.7226632219,145.4309608073,96.5371146728,71.4531187743,129.7301099268,90.7288717023,138.4306659985,159.2605322188,36.6936483479,73.9427877967,117.0288860615,169.3218647604,120.8450166659,122.5556631354,167.4682293113,32.1830598163,122.9027664607,150.1825182399,133.7160422680,187.8120493371,102.6382316600,64.3444324698,146.5819004385,54.7186252493,84.2506854845,155.6030916506,80.6237584969,70.1200815893,123.0099472210,136.2835975294,114.4498803406,79.6894277335,96.6980483370,125.1595210531,105.7209069211,133.1552326353,152.5944635138,171.8853246037,129.2521039042
800.000000,72.9929007631,125.1427433222,120.9599868424,73.4919056844,141.1680096989,107.5649500437,71.1506077189,114.8698626768,88.7553540140,157.4553954948,141.9808380876,40.7011253901,70.3184104123,107.5271150778,178.7793805227,137.1397944695,137.9827850066,161.1223865233,31.2484106090,115.4017954576,146.2279785801,128.9803379083,193.6775691973,104.2171585371,65.7058643417,137.6129581569,48.2880622662,78.3126012143,153.8006244248,87.6852839466,66.8484956039,131.4809890781,132.6391619824,123.7912970638,76.2068451881,110.1443976890,131.4504510353,99.1832875017,137.2064974764,151.5597820129,167.1520253595,114.6817843816
1000.000000,77.2812436825,126.8065807761,140.5218879978,80.0590712208,140.3585130517,110.9239384912,74.9863556833,117.7684637506,89.6013208793,146.5260290187,126.5852853410,45.0921671648,79.6298737337,118.5717522638,175.2159175296,124.5254949889,144.2122277543,158.0136807954,31.5230801393,109.5218673452,142.3475110395,131.8765137485,182.6808084916,95.9924281746,68.8196007524,116.7729350578,50.9276920331,87.0966775969,153.3055749404,85.2249973144,74.7872661207,136.4603512756,143.0606725160,117.9025278218,80.7282734429,114.1450059136,130.8066317784,97.8456183500,126.7928843348,150.8467853142,170.5440024278,124.2264638882
1200.000000,72.2612491567,104.8311693557,141.8106940512,74.2266202375,124.3379553738,105.9850100678,89.9437525973,130.9653460761,92.0890474842,146.2745182568,133.2900773141,39.7462882882,86.2857795480,114.0518611371,165.7289934177,123.0539665649,131.1589570334,165.4284004001,47.4421756408,114.4055576579,154.3527489170,147.4624083080,170.4682421623,102.1741284780,63.7506184594,114.1675198951,60.5654065719,86.1418152553,158.1878568286,76.6558357095,67.9492040903,128.3588595438,153.9069518784,122.2945888050,83.7139914479,130.5163532603,147.4373004313,106.7886163716,127.5488433174,143.2071365290,162.7658371844,111.1464183577
1400.000000,71.5895586694,114.6150062888,132.0708669354,69.1361075822,113.1328859411,99.8626789065,91.0153540276,130.0806684124,85.6598908567,141.9209296171,139.4752392135,33.1332716457,75.2911439533,118.9272260640,180.5281456303,126.7454455286,138.8953683550,154.4435264633,51.3422938162,117.0336033284,131.3617765291,128.5818776804,155.0017970129,99.5731915454,65.9516686439,129.5108511285,57.6549552325,85.5781601287,144.0703103191,99.6430805036,61.7769177342,115.9644984071,158.2152836533,119.4821746180,82.2659986192,128.4644761385,152.7534767287,108.1981066265,128.0281827418,146.2922285437,160.0940196138,119.2238011135
1600.000000,66.8097424310,117.5436783652,124.5435024973,65.0359267190,126.3485382621,95.6132125221,83.6602383499,127.0709190374,81.0296285585,130.9177430537,145.8215019784,30.0437541216,79.9675078870,114.7654059314,172.3818064036,116.2193817458,130.4831325702,158.6319121185,57.2036904520,107.1594233796,141.3455081460,136.4522656579,160.8619299304,97.6504420126,63.2852306420,125.9350433629,51.3137251201,75.3272953878,149.3285131483,100.1621562800,59.5400815136,113.9453368127,164.7160372264,109.7549542718,86.9771961085,120.2221528517,142.9942444249,106.5940989234,127.4831178315,139.0471493157,158.8926526845,118.2935256385
1800.000000,60.3903698305,113.8395561078,104.8483942226,72.1682251588,130.0172030741,91.3509263368,80.6485847045,134.1126426271,82.7902506436,132.4160963459,144.1697926319,38.2383060258,80.8715078372,119.9876425851,174.3183163201,121.2121775204,142.9862090328,170.8602381858,58.5061585378,126.1638113566,141.4645206028,134.3321589541,143.3828859895,104.1679331251,55.9174572628,125.2235176123,53.3826931383,82.2811721641,142.2370193001,91.3983796035,67.1318222573,111.8892047785,155.4068886992,97.7617347950,75.9362458208,103.5020921896,132.0528808339,99.7473126681,122.6614610626,119.5753734073,174.8599164491,130.4998977817
2000.000000,60.2501245779,120.2566383973,104.7741299004,74.4522222070,127.0834317141,93.2810109048,82.9751633548,142.1882112697,89.1140058005,127.5330115147,145.4550976063,42.0439354842,90.1186189542,112.5060685755,168.9776384689,123.4416696419,141.5837457416,169.4734376278,54.5536061188,125.2557982733,128.1715331846,141.7299960140,157.9832988021,113.7405958332,53.0210339933,127.0789313306,47.7254966728,86.8223535625,145.7175131258,101.1260123402,61.5882497524,111.8490028220,160.9302044219,106.1308211131,73.4334871965,114.4418798089,124.5600024313,97.7426695510,126.3938631364,134.2320923797,178.3524340704,129.8900711059
2200.000000,67.3563787932,128.4650647464,111.7680269914,71.4209541783,115.6788745677,97.5789084477,59.9484693160,139.8364092654,87.7324209374,129.6976107154,138.9839658128,31.5303056385,96.1216776283,113.2969593173,173.8842540564,124.7320040145,134.6464245499,172.8285238965,55.9163471494,118.0706836971,132.9814583632,148.1230960454,160.9744054295,111.3726231283,56.1934178778,128.5843359567,43.1398918397,77.9248258289,136.9615666310,99.2196643005,57.4837290960,113.2176959162,150.5920504206,107.8872019831,86.2242213829,115.5795628308,135.3107450865,98.3809503225,137.3771996699,124.8329049578,170.4196012826,143.0923517194
2400.000000,70.2887019589,130.3929456947,105.8925539628,84.0350938462,120.8794567169,82.5450603312,67.3123962186,144.6613945389,95.0347692765,120.2867322605,143.4842247095,42.3407511059,88.4296702782,107.4851455824,159.9604022469,133.4850736425,147.8623775998,176.4888251911,49.3092938904,121.7765282852,137.3764160391,151.9247314303,159.1260406922,121.8409329888,63.6344328087,105.3735540755,53.2730625769,81.0286446828,135.1959881526,98.4208799811,51.7448718583,100.2078285341,152.1314369970,108.8179337179,97.1021220225,99.5886619348,123.7425552682,99.6606292624,133.3197505164,138.0701838920,162.4360934265,140.2216755157
