# time_ps avg_interchain_contacts
0.000000 57.3670067058
200.000000 56.2833950559
400.000000 58.0270088108
600.000000 57.0391595985
800.000000 56.9358001281
1000.000000 57.1537615945
1200.000000 57.4152154936
1400.000000 56.6974529107
1600.000000 55.7306345676
1800.000000 55.2941544950
2000.000000 56.1664179617
2200.000000 56.0162829022
2400.000000 56.0260693299
2600.000000 55.2225224606
2800.000000 56.6661182984
3000.000000 56.3259440150
3200.000000 55.9311310135
3400.000000 57.9739619654
3600.000000 56.0324297365
3800.000000 56.0357405000
4000.000000 58.8838602766
4200.000000 58.3704642138
4400.000000 58.1838370179
4600.000000 57.8861041250
4800.000000 57.9010626574
5000.000000 57.5680822831
5200.000000 58.5306682393
5400.000000 58.8429371555
5600.000000 59.9173498916
5800.000000 58.3971631462
6000.000000 58.6562572353
6200.000000 59.4641065160
6400.000000 57.9033049835
6600.000000 56.9865020338
6800.000000 59.6349749485
7000.000000 58.9765740295
7200.000000 58.5571961013
7400.000000 57.8522750701
7600.000000 54.6323928183
7800.000000 56.5522436925
8000.000000 57.3514813827
8200.000000 57.5121496786
8400.000000 56.3290863226
8600.000000 57.2604004153
8800.000000 59.6402152680
9000.000000 59.0188497391
9200.000000 57.7123657107
9400.000000 57.5715717981
9600.000000 59.2272802645
9800.000000 59.6630476530
10000.000000 59.4429205426
10200.000000 59.7384181036
10400.000000 59.1301887515
10600.000000 59.4753623939
10800.000000 58.7394618926
11000.000000 58.8891925803
11200.000000 58.3309021945
11400.000000 57.7818230895
11600.000000 57.9330118606
11800.000000 57.2800207507
12000.000000 59.5279532298
12200.000000 58.1851042568
12400.000000 57.4700281710
12600.000000 57.4211692591
12800.000000 56.5727068191
13000.000000 58.0627560840
13200.000000 56.9107763429
13400.000000 59.0302960898
13600.000000 58.7752087830
13800.000000 57.9188058586
14000.000000 59.2188741870
14200.000000 57.0501659840
14400.000000 56.1433893114
14600.000000 57.6638223505
14800.000000 58.2446000556
15000.000000 57.0243187794
15200.000000 56.0238655315
15400.000000 56.7740819155
15600.000000 56.5817709624
15800.000000 57.4546837714
16000.000000 59.0146384948
16200.000000 58.0332733547
16400.000000 58.6019931027
16600.000000 59.2906814119
16800.000000 59.3206065863
17000.000000 58.9832097727
17200.000000 58.4651536364
17400.000000 57.7142863939
17600.000000 59.2875542752
17800.000000 59.1282523116
18000.000000 59.5843400853
18200.000000 58.4494156173
18400.000000 57.9662727806
18600.000000 57.0226893997
18800.000000 56.0674556215
19000.000000 57.3093635762
19200.000000 57.3298698477
19400.000000 57.2291762183
19600.000000 57.2436446647
19800.000000 56.9895992607
20000.000000 57.4992877847
20200.000000 58.8537422154
20400.000000 58.1020456814
20600.000000 57.7640183698
20800.000000 57.7677839446
21000.000000 58.8315887764
21200.000000 59.8138256802
21400.000000 59.2992754258
21600.000000 60.4356848551
21800.000000 59.4528056938
22000.000000 58.2132517099
22200.000000 57.1759958987
22400.000000 58.3025748281
22600.000000 57.9271499560
22800.000000 58.6567470424
23000.000000 56.2728155544
23200.000000 56.0305933944
23400.000000 58.6440922252
23600.000000 57.9377163780
23800.000000 58.3078259032
24000.000000 57.8613046750
24200.000000 56.7774515095
24400.000000 55.8416176176
24600.000000 56.2093397541
24800.000000 54.8498704719
25000.000000 55.0495596774
25200.000000 53.6945636089
25400.000000 54.8495855028
25600.000000 54.8500171779
25800.000000 56.5183481811
26000.000000 55.6667978994
26200.000000 57.0210238042
26400.000000 56.6375357132
26600.000000 55.8805757363
26800.000000 57.7930659385
27000.000000 57.1538228584
27200.000000 56.1100247780
27400.000000 56.8858358369
27600.000000 57.4377995875
27800.000000 56.3371706147
28000.000000 58.3531223625
28200.000000 58.0755277381
28400.000000 56.5187961330
28600.000000 57.2276640836
28800.000000 57.6545347788
29000.000000 55.8623371008
29200.000000 55.9338779784
29400.000000 57.1053789272
29600.000000 56.5703773646
29800.000000 57.3861304182
