time_ps,frag1,frag2,frag3,frag4,frag5,frag6,frag7,frag8,frag9,frag10,frag11,frag12,frag13,frag14,frag15,frag16,frag17,frag18,frag19,frag20,frag21,frag22,frag23,frag24,frag25,frag26,frag27,frag28,frag29,frag30,frag31,frag32,frag33,frag34,frag35,frag36,frag37,frag38,frag39,frag40,frag41,frag42
0.000000,98.3757592074,80.8488415807,71.7039043475,92.7141248755,56.6302932620,103.1221495541,112.4604319668,96.0072464666,92.5113480143,63.4774147399,84.9410280743,119.4081671190,86.2587875431,85.5853399652,60.9747031878,86.4126342357,58.3910512732,71.9832369466,120.2860474660,63.4135189458,84.0980689767,71.3409100554,63.0611876008,89.9708224582,99.8246803664,93.5648151461,127.3282921840,112.8444656940,81.7825002658,106.5653614029,118.5138683732,79.8426185205,66.7174656209,97.4487771148,99.3763981830,56.7903109743,107.3337352946,74.5146998141,92.0609419094,70.3709882696,69.7257596527,90.4939882304
200.000000,91.6232677256,85.1279233180,88.0052189010,87.2836785455,52.4714602798,87.1196478771,106.2011017622,105.6939166631,87.1892791452,67.9372671206,97.1151661249,125.8212806052,87.0175635447,106.1342824441,57.8632579495,74.0526396587,63.2324267134,74.7856639794,100.7308181256,55.4265025965,85.6743744282,70.1993899339,61.5627197512,78.6597319203,94.5863589366,90.1647883215,111.8465928338,100.9527136001,68.3016688835,111.4174297323,117.0231993986,90.8029876985,71.7722410152,95.3290803053,96.1599388054,64.4763256067,105.2231639621,70.6431950755,77.0181897435,70.1399156567,63.8883704179,80.4264083354
400.000000,90.0108999453,97.1467315588,75.5001937726,86.4508694214,65.0833743748,82.8467201752,96.3989638387,88.8241490034,87.0861229474,65.5900731251,98.3503079644,124.3552531955,83.6820530159,107.1186898364,59.9283599248,80.4240269194,70.9372253343,72.1315541041,102.5832059026,86.8991245291,72.3845474531,64.0796288738,57.4350696334,78.8521213190,103.4348080408,94.9999140322,103.7750563912,95.4903837167,84.7258873427,122.7031249585,107.9645563481,86.9843446987,79.1758740660,93.5312769274,96.7250354083,61.7188067382,100.1822563977,74.8116068810,75.1265107437,70.2141870981,64.7049302391,81.5413957171
600.000000,98.3670030065,88.5245851446,88.0442613321,84.8743051156,66.2247009961,109.0832807826,116.2224653108,92.5464181338,58.9912632484,65.2531739454,106.8934287881,126.4116751677,93.1149900559,95.5060900607,68.6895618401,72.7801559281,68.2391889793,73.5009904636,116.9465249458,89.7721729675,64.1977412239,69.5510966554,64.9911639567,77.7231047613,98.4940593131,83.0815764752,107.9359764183,106.1471335176,80.4404119561,111.9475696815,105.8072584589,90.8100419221,81.7996606965,91.9854545356,91.4214289246,56.9825487966,93.2592603734,72.9926706749,88.9282658007,68.7670377989,60.9752536270,81.3790523471
800.000000,91.6698085713,77.6033288904,89.9978573123,99.3554744255,63.1184805554,97.8041786047,101.0409619434,105.6775450894,59.2838390863,54.3971166804,101.3223981363,137.0321556098,112.1735309923,108.3422154406,59.7427739580,69.8389242219,66.1608615632,75.5756282844,99.9921046827,84.8759572466,60.0556007956,64.6687729642,59.2071761490,77.1999117006,102.8044793642,97.9360139711,108.6230204693,99.4512936221,92.4012663382,103.5065727846,116.0262293024,89.7554797947,78.9094778240,92.9781847221,81.1319478182,57.5790455824,96.3026507410,60.8249603130,95.4294539317,61.6761251680,65.5591271151,72.5011324383
1000.000000,87.7840697025,78.3645275351,90.2984029768,91.5894496192,80.6500638192,96.9166411064,109.9418537971,99.1281796967,70.9417477054,75.0619778421,103.7812781850,118.7596400484,96.1038492797,117.1722684278,65.9788753267,76.8739285484,60.9990543139,67.8927060635,105.5020717547,84.6490695636,56.4244740437,68.8829894669,59.0321622648,72.1009752115,106.8717924334,110.0424883182,117.7576083316,113.6523233402,98.7085220515,110.6824904350,128.1717701725,97.5069342592,80.8793013481,97.9520193652,96.4570379133,51.6432671476,83.7451308340,78.0072082937,90.7930305076,72.0713498390,57.3470841970,61.8458445265
1200.000000,88.5717306499,69.8330756034,95.3654795733,104.3534967806,68.8880859564,98.2983995506,109.8182659261,93.4290273925,60.6115161727,73.9069808198,96.6660639479,138.8328648859,95.4263555383,106.8294769962,63.4963091267,80.6951306674,52.6802655863,63.4234848474,99.9350920931,83.7842654838,57.9633287862,67.9288368325,60.5925624402,82.5171062213,87.7608899237,102.6518672603,98.5658383352,101.6859652924,85.1549037749,110.0588183924,129.4547674937,92.9494837525,65.5277821369,99.7235158102,91.3876913088,58.2951560396,86.2268006886,77.0977808700,81.4323802331,69.8235748346,69.0361021160,74.5057991818
1400.000000,82.1739251899,84.6611779291,83.9073968241,110.1914664796,75.1737722964,99.0385322235,114.8587233412,87.1395988482,84.8964582834,77.3646010234,91.1460293178,137.6400710660,91.5732285312,110.0380132176,67.2338051915,91.5510842439,57.3315026637,69.3979239862,95.3911967028,82.4567922804,60.4771719499,75.0299374460,71.8662604361,73.3603216985,78.8546813951,93.0255344860,100.4976094324,106.7330900339,74.7747676579,108.2261136951,126.4131380608,102.0180783302,62.0917824529,98.4080952582,84.4622778288,72.3491748168,89.6045922238,81.2903744912,75.8358098136,80.8332356804,66.3543082511,82.8508074055
1600.000000,82.0026422669,82.0130851704,96.5976262570,103.7269714704,79.8934119351,85.8410377841,101.4076499156,95.4795233080,80.0179215040,86.0210883312,85.4393235486,102.1379555988,92.5717067849,118.9334026721,55.0818920042,80.3722196485,59.5864283522,82.3772742899,90.0345272702,80.4280161905,70.0141595179,75.6380595012,77.1357354727,84.2884156405,80.7732961183,88.9460243876,99.9467782807,101.4283360667,78.6882848539,102.9675545079,139.0856836595,94.3996224138,63.1460312060,100.2923817165,90.6313140136,72.5787136720,87.6036020405,74.5496930831,75.2736695048,83.0720383994,73.7778773797,84.5344993589
1800.000000,74.8008370546,71.5288392589,96.9604987909,108.8440943809,67.4852857344,79.4181972213,108.0903715097,94.2122396343,71.1374851564,90.9596090311,94.5834145094,106.7747875279,84.0338816422,109.3962498219,57.4747183912,90.8699310799,66.2431687521,74.0134701316,106.4260894832,91.4393217219,66.9997395025,79.8507612432,68.7832555814,82.8125695948,87.2717676102,92.4249997040,101.2679507283,97.8566373101,78.2385454979,99.1095398108,135.0075820781,89.0124918396,59.7698012336,102.2077716444,92.9633001755,64.5421051719,79.2113900905,80.0270748019,84.5839616384,84.4737820861,57.4674947063,73.4390524211
